date,home_team,away_team,home_score,away_score,tournament,neutral
2020-05-03,Japan,Germany,0,0,Friendly,0
2020-05-03,Bosnia and Herzegovina,Germany,2,3,Friendly,1
2020-05-04,Iran,South Korea,2,2,Qualifiers,1
2020-05-05,Haiti,Egypt,1,3,Qualifiers,0
2020-05-06,England,South Africa,1,0,Continental Cup,1
2020-05-07,Belgium,USA,3,1,Qualifiers,1
2020-05-07,Australia,Canada,0,0,Continental Cup,1
2020-05-08,Senegal,Czechia,2,1,Continental Cup,1
2020-05-08,Uruguay,Portugal,1,2,Continental Cup,1
2020-05-10,Croatia,Canada,2,0,Qualifiers,1
2020-05-10,Uzbekistan,Ghana,0,3,Friendly,1
2020-05-12,DR Congo,Norway,1,2,Friendly,0
2020-05-12,Türkiye,Argentina,3,2,Qualifiers,0
2020-05-13,Colombia,Netherlands,1,1,Continental Cup,1
2020-05-15,France,Türkiye,3,1,Qualifiers,1
2020-05-16,Haiti,Curaçao,3,0,Qualifiers,0
2020-05-18,South Africa,Ecuador,2,1,Qualifiers,0
2020-05-18,Iraq,Türkiye,2,1,Friendly,0
2020-05-18,Jordan,Ghana,1,2,FIFA World Cup,1
2020-05-18,Australia,Haiti,4,1,Friendly,0
2020-05-18,Colombia,Egypt,3,0,Qualifiers,1
2020-05-18,Canada,Colombia,1,4,FIFA World Cup,1
2020-05-19,South Africa,Algeria,1,0,Qualifiers,1
2020-05-20,Cape Verde,New Zealand,3,2,Qualifiers,1
2020-05-21,Morocco,Croatia,3,0,Qualifiers,1
2020-05-21,England,Norway,0,0,Qualifiers,0
2020-05-23,Ivory Coast,Germany,1,0,Friendly,0
2020-05-24,Spain,South Africa,5,1,Qualifiers,0
2020-05-25,Jordan,Spain,0,2,Friendly,0
2020-05-26,Cape Verde,Paraguay,1,0,Friendly,0
2020-05-26,Norway,Portugal,1,0,Friendly,1
2020-05-31,Mexico,Iraq,3,0,Friendly,1
2020-05-31,Uzbekistan,Senegal,0,0,Friendly,0
2020-05-31,Argentina,England,3,0,Qualifiers,0
2020-06-03,Senegal,Morocco,0,3,Friendly,1
2020-06-04,Paraguay,Canada,0,2,Qualifiers,1
2020-06-04,Netherlands,Panama,2,0,Continental Cup,1
2020-06-06,Tunisia,Australia,1,2,Qualifiers,0
2020-06-06,Portugal,Panama,1,0,Friendly,0
2020-06-06,Netherlands,Australia,1,1,Friendly,1
2020-06-07,Morocco,Mexico,2,2,Continental Cup,1
2020-06-07,Norway,Ecuador,0,0,Friendly,0
2020-06-09,Ghana,South Korea,5,0,Qualifiers,0
2020-06-10,Egypt,Bosnia and Herzegovina,0,1,Friendly,0
2020-06-12,Czechia,Austria,2,2,Continental Cup,1
2020-06-12,Panama,Jordan,2,0,Qualifiers,1
2020-06-13,Brazil,Japan,2,1,Continental Cup,1
2020-06-13,DR Congo,Spain,0,2,Friendly,0
2020-06-14,Colombia,Sweden,2,2,Qualifiers,0
2020-06-14,Curaçao,England,1,4,Qualifiers,1
2020-06-15,Türkiye,Cape Verde,2,1,Friendly,1
2020-06-16,Argentina,Ecuador,0,2,Continental Cup,1
2020-06-17,Paraguay,France,0,2,Continental Cup,1
2020-06-17,Ecuador,South Africa,0,0,Qualifiers,0
2020-06-18,Uzbekistan,Norway,2,2,Continental Cup,1
2020-06-19,Paraguay,Algeria,1,2,Continental Cup,1
2020-06-20,South Africa,Ecuador,1,1,Qualifiers,0
2020-06-20,South Africa,Algeria,2,1,Qualifiers,1
2020-06-21,South Korea,Jordan,0,1,Qualifiers,1
2020-06-21,Colombia,Croatia,0,4,Continental Cup,1
2020-06-22,Norway,Ghana,0,1,Qualifiers,0
2020-06-22,Uruguay,Morocco,2,1,Qualifiers,1
2020-06-23,Argentina,Croatia,1,2,Qualifiers,1
2020-06-23,Curaçao,Ivory Coast,2,0,Qualifiers,1
2020-06-24,USA,Canada,3,0,Friendly,0
2020-06-24,France,Curaçao,1,2,Continental Cup,1
2020-06-24,Paraguay,Sweden,2,1,Qualifiers,1
2020-06-27,Algeria,Canada,2,1,Friendly,1
2020-06-27,Saudi Arabia,Tunisia,0,1,Friendly,0
2020-06-30,Ecuador,Morocco,2,0,Friendly,0
2020-07-02,Uruguay,Spain,3,3,Qualifiers,1
2020-07-02,Belgium,Saudi Arabia,4,0,Friendly,0
2020-07-05,Mexico,England,1,1,Continental Cup,1
2020-07-06,Tunisia,Argentina,0,3,Qualifiers,0
2020-07-07,USA,Türkiye,0,4,Qualifiers,0
2020-07-09,Türkiye,New Zealand,0,0,Qualifiers,1
2020-07-09,Germany,Panama,2,0,Friendly,1
2020-07-10,Scotland,France,1,1,Continental Cup,1
2020-07-12,France,Tunisia,1,0,Qualifiers,1
2020-07-14,Cape Verde,Brazil,2,2,Friendly,0
2020-07-14,Croatia,Sweden,0,2,Qualifiers,1
2020-07-15,France,Japan,0,1,Qualifiers,1
2020-07-17,Spain,Saudi Arabia,2,1,Continental Cup,1
2020-07-17,Iraq,Colombia,0,3,Qualifiers,1
2020-07-17,Portugal,Germany,0,1,Qualifiers,1
2020-07-19,Norway,Scotland,4,1,FIFA World Cup,1
2020-07-23,Saudi Arabia,Egypt,0,0,Friendly,1
2020-07-24,Morocco,Scotland,1,1,Qualifiers,0
2020-07-24,Brazil,France,1,1,Qualifiers,1
2020-07-26,Panama,Netherlands,0,3,Continental Cup,1
2020-07-27,Iran,Haiti,5,0,Friendly,0
2020-07-27,Brazil,Japan,2,2,Continental Cup,1
2020-07-28,South Korea,Argentina,1,5,Qualifiers,1
2020-07-30,Jordan,Norway,2,3,Friendly,1
2020-07-30,Curaçao,Australia,0,1,Qualifiers,0
2020-07-31,Australia,Germany,1,2,Qualifiers,0
2020-08-01,Qatar,Türkiye,3,2,Qualifiers,0
2020-08-02,Colombia,Qatar,1,0,Continental Cup,1
2020-08-02,Egypt,Switzerland,1,0,Friendly,1
2020-08-04,New Zealand,Portugal,0,2,Qualifiers,1
2020-08-04,Iran,Algeria,2,0,FIFA World Cup,1
2020-08-05,Scotland,South Africa,1,1,Qualifiers,0
2020-08-07,Netherlands,Egypt,2,3,Continental Cup,1
2020-08-07,Saudi Arabia,Portugal,1,1,Friendly,1
2020-08-07,New Zealand,Uruguay,0,4,Friendly,0
2020-08-09,Argentina,Haiti,2,3,Continental Cup,1
2020-08-09,Egypt,Austria,2,0,Friendly,0
2020-08-09,South Africa,Portugal,1,3,Qualifiers,0
2020-08-10,Tunisia,Senegal,1,3,Friendly,0
2020-08-10,Saudi Arabia,Türkiye,2,1,Qualifiers,1
2020-08-11,Ecuador,Germany,1,0,Continental Cup,1
2020-08-11,Japan,Canada,1,0,Qualifiers,1
2020-08-12,Canada,Belgium,3,5,Continental Cup,1
2020-08-12,England,Haiti,4,2,Continental Cup,1
2020-08-13,Switzerland,Croatia,3,1,Qualifiers,0
2020-08-13,Ecuador,Spain,1,0,Friendly,1
2020-08-13,Ivory Coast,Bosnia and Herzegovina,2,2,Qualifiers,0
2020-08-14,Canada,Norway,2,1,Qualifiers,0
2020-08-17,South Africa,Croatia,1,6,Friendly,1
2020-08-17,Haiti,New Zealand,1,1,Continental Cup,1
2020-08-17,Qatar,Brazil,0,1,Friendly,0
2020-08-18,Portugal,Senegal,1,0,Qualifiers,0
2020-08-19,Qatar,South Africa,4,1,Friendly,1
2020-08-19,Senegal,Norway,1,0,Qualifiers,0
2020-08-19,South Africa,Czechia,1,0,Qualifiers,1
2020-08-20,DR Congo,Brazil,1,3,Friendly,0
2020-08-21,Jordan,New Zealand,3,2,Continental Cup,1
2020-08-23,England,Germany,2,3,Friendly,0
2020-08-23,USA,Qatar,2,0,Qualifiers,1
2020-08-23,Morocco,DR Congo,2,0,Continental Cup,1
2020-08-27,Czechia,Germany,1,0,Friendly,0
2020-08-28,Netherlands,Portugal,1,2,FIFA World Cup,1
2020-08-29,Spain,Uzbekistan,1,0,Friendly,1
2020-08-30,Saudi Arabia,Ghana,0,1,Qualifiers,1
2020-09-01,Iraq,South Africa,1,1,Friendly,0
2020-09-02,Brazil,Mexico,3,1,Friendly,0
2020-09-02,Netherlands,Croatia,0,2,Continental Cup,1
2020-09-02,Spain,Iraq,2,1,Friendly,0
2020-09-03,Ecuador,Colombia,0,0,Friendly,1
2020-09-03,Germany,USA,3,1,Continental Cup,1
2020-09-04,Uruguay,Jordan,0,2,Qualifiers,1
2020-09-04,Ivory Coast,Scotland,2,1,Friendly,1
2020-09-05,Australia,Algeria,0,3,Continental Cup,1
2020-09-06,Croatia,Iraq,3,2,Qualifiers,1
2020-09-08,Senegal,Germany,3,0,Continental Cup,1
2020-09-08,Germany,Curaçao,2,5,Qualifiers,0
2020-09-09,Portugal,Senegal,3,0,Qualifiers,0
2020-09-09,South Africa,Netherlands,1,1,Continental Cup,1
2020-09-10,Tunisia,Morocco,1,1,Qualifiers,0
2020-09-12,South Korea,Uzbekistan,2,1,Qualifiers,1
2020-09-14,Colombia,Argentina,2,1,Qualifiers,0
2020-09-15,USA,Mexico,1,2,Qualifiers,0
2020-09-16,Jordan,France,1,1,Qualifiers,0
2020-09-16,New Zealand,Japan,3,2,Qualifiers,0
2020-09-16,South Africa,Egypt,0,1,Qualifiers,0
2020-09-19,Türkiye,Sweden,0,0,Qualifiers,1
2020-09-19,Croatia,Morocco,1,1,Continental Cup,1
2020-09-19,Uruguay,Cape Verde,2,1,Qualifiers,1
2020-09-21,South Africa,Japan,2,4,Qualifiers,0
2020-09-21,Switzerland,Portugal,2,4,Friendly,1
2020-09-22,Ecuador,USA,0,1,Qualifiers,0
2020-09-22,Uruguay,Uzbekistan,1,2,Qualifiers,0
2020-09-22,Curaçao,DR Congo,1,2,Friendly,0
2020-09-22,Egypt,Saudi Arabia,3,0,Friendly,0
2020-09-22,Paraguay,South Africa,1,0,Continental Cup,1
2020-09-23,Portugal,New Zealand,5,2,Friendly,1
2020-09-24,Panama,Cape Verde,0,1,FIFA World Cup,1
2020-09-25,Iran,Paraguay,0,1,Friendly,1
2020-09-27,Jordan,Egypt,0,1,Friendly,1
2020-09-27,USA,Türkiye,3,1,Continental Cup,1
2020-09-27,USA,Germany,0,4,FIFA World Cup,1
2020-09-28,Iran,Egypt,1,1,Continental Cup,1
2020-09-28,Sweden,DR Congo,1,0,Qualifiers,1
2020-09-30,Tunisia,Saudi Arabia,0,0,Friendly,1
2020-09-30,Germany,South Africa,1,1,Continental Cup,1
2020-10-02,Iran,Jordan,2,0,FIFA World Cup,1
2020-10-03,Saudi Arabia,Egypt,1,1,Qualifiers,1
2020-10-04,Canada,Czechia,4,1,Qualifiers,0
2020-10-04,Austria,Türkiye,1,1,Qualifiers,1
2020-10-05,Switzerland,Spain,0,2,Qualifiers,0
2020-10-05,Uzbekistan,Uruguay,0,2,Continental Cup,1
2020-10-07,Germany,DR Congo,1,0,Qualifiers,0
2020-10-10,Jordan,Ivory Coast,1,2,FIFA World Cup,1
2020-10-10,Ghana,Morocco,1,2,Qualifiers,0
2020-10-11,South Africa,Norway,0,0,Friendly,0
2020-10-12,Saudi Arabia,Panama,0,1,Friendly,1
2020-10-16,Bosnia and Herzegovina,Jordan,1,1,Friendly,0
2020-10-17,Canada,Senegal,2,5,Continental Cup,1
2020-10-17,Japan,Uzbekistan,5,4,Friendly,1
2020-10-17,Cape Verde,Japan,0,1,Qualifiers,1
2020-10-17,Ivory Coast,South Korea,2,2,Qualifiers,1
2020-10-19,Qatar,Australia,1,3,Qualifiers,0
2020-10-22,Cape Verde,Sweden,2,0,Friendly,0
2020-10-24,Croatia,Ecuador,1,5,Friendly,1
2020-10-24,Czechia,South Africa,3,1,Continental Cup,1
2020-10-24,Brazil,Sweden,2,0,Qualifiers,0
2020-10-24,Tunisia,Paraguay,1,1,Qualifiers,1
2020-10-25,Uzbekistan,Czechia,0,0,Continental Cup,1
2020-10-25,Morocco,Bosnia and Herzegovina,2,0,Continental Cup,1
2020-10-26,Japan,Czechia,1,6,Friendly,0
2020-10-28,DR Congo,Bosnia and Herzegovina,3,0,Qualifiers,0
2020-10-29,England,Spain,1,3,Qualifiers,1
2020-10-30,Japan,Algeria,1,0,Friendly,1
2020-10-30,Egypt,Portugal,1,0,Qualifiers,1
2020-10-31,Belgium,Türkiye,1,0,Friendly,0
2020-11-01,Switzerland,Qatar,2,1,Friendly,0
2020-11-02,Australia,Croatia,1,4,Qualifiers,1
2020-11-02,Japan,Saudi Arabia,3,0,Qualifiers,1
2020-11-02,Argentina,USA,2,1,Friendly,1
2020-11-06,Netherlands,Iraq,2,1,Friendly,1
2020-11-07,Curaçao,France,0,5,Continental Cup,1
2020-11-08,Bosnia and Herzegovina,Uruguay,4,3,Qualifiers,0
2020-11-08,Saudi Arabia,Spain,1,2,Friendly,1
2020-11-08,DR Congo,Mexico,0,2,Friendly,1
2020-11-10,Haiti,Canada,2,2,FIFA World Cup,1
2020-11-11,Spain,Czechia,0,1,Qualifiers,1
2020-11-11,Germany,Sweden,0,0,Qualifiers,0
2020-11-12,Portugal,Croatia,2,3,Friendly,1
2020-11-12,Paraguay,Croatia,1,1,Qualifiers,1
2020-11-12,Australia,England,4,1,FIFA World Cup,1
2020-11-14,Mexico,Senegal,2,1,Continental Cup,1
2020-11-15,Austria,Morocco,1,1,Qualifiers,1
2020-11-17,Spain,Egypt,1,2,Qualifiers,1
2020-11-17,Belgium,Netherlands,2,0,Qualifiers,1
2020-11-17,New Zealand,Morocco,1,1,Qualifiers,0
2020-11-18,USA,Argentina,3,0,Qualifiers,0
2020-11-18,Austria,Cape Verde,5,2,Friendly,0
2020-11-19,Algeria,New Zealand,2,2,Qualifiers,1
2020-11-20,Senegal,Curaçao,1,0,Continental Cup,1
2020-11-21,France,Cape Verde,1,0,Friendly,1
2020-11-22,Haiti,Paraguay,3,3,Qualifiers,1
2020-11-24,Australia,Scotland,2,4,Friendly,1
2020-11-24,Canada,Colombia,1,1,Continental Cup,1
2020-11-25,Mexico,Austria,1,1,Qualifiers,0
2020-11-27,Switzerland,Curaçao,4,0,Qualifiers,0
2020-11-27,Uzbekistan,Switzerland,0,1,Qualifiers,1
2020-11-28,New Zealand,South Korea,1,2,Friendly,0
2020-11-30,Iran,France,1,2,Friendly,1
2020-12-01,Haiti,Czechia,0,2,Qualifiers,1
2020-12-01,USA,Ivory Coast,2,0,FIFA World Cup,1
2020-12-02,Brazil,South Africa,3,1,Friendly,0
2020-12-04,Haiti,Egypt,0,1,Friendly,1
2020-12-05,Czechia,Bosnia and Herzegovina,1,2,Qualifiers,1
2020-12-06,Ecuador,Curaçao,2,1,Continental Cup,1
2020-12-09,Egypt,Sweden,1,3,Friendly,1
2020-12-10,Panama,Paraguay,1,0,Qualifiers,0
2020-12-12,Argentina,Uzbekistan,1,1,Qualifiers,1
2020-12-13,New Zealand,Germany,1,2,Friendly,1
2020-12-13,Argentina,Iran,1,0,Qualifiers,0
2020-12-15,Brazil,Senegal,3,1,Friendly,0
2020-12-16,Qatar,Scotland,1,1,FIFA World Cup,1
2020-12-17,Belgium,Spain,2,3,Friendly,1
2020-12-17,South Africa,Portugal,1,4,Qualifiers,0
2020-12-18,Senegal,South Africa,0,0,Qualifiers,0
2020-12-18,Tunisia,Norway,1,3,Qualifiers,1
2020-12-20,Qatar,Argentina,0,1,Friendly,1
2020-12-21,Senegal,England,0,3,Continental Cup,1
2020-12-22,New Zealand,Algeria,0,1,Qualifiers,0
2020-12-23,Algeria,Morocco,1,2,FIFA World Cup,1
2020-12-23,New Zealand,Sweden,1,3,Friendly,0
2020-12-23,Cape Verde,Ecuador,0,1,Continental Cup,1
2020-12-24,Morocco,DR Congo,2,0,Friendly,1
2020-12-25,Netherlands,Bosnia and Herzegovina,3,0,Friendly,0
2020-12-26,Ivory Coast,Iran,1,1,Qualifiers,1
2020-12-27,New Zealand,Qatar,4,2,Qualifiers,1
2020-12-30,Switzerland,Ivory Coast,2,1,Qualifiers,1
2020-12-30,Morocco,Argentina,3,1,Qualifiers,0
2020-12-31,Qatar,Colombia,2,2,Friendly,0
2020-12-31,USA,Switzerland,1,2,Qualifiers,1
2020-12-31,Jordan,Haiti,5,0,Friendly,0
2020-12-31,Türkiye,Panama,1,2,Friendly,0
2021-01-01,Sweden,Canada,4,0,Continental Cup,1
2021-01-01,Curaçao,Brazil,0,1,Friendly,0
2021-01-01,Australia,France,2,4,Qualifiers,0
2021-01-01,Sweden,Iraq,0,2,Qualifiers,1
2021-01-01,Croatia,DR Congo,1,1,Continental Cup,1
2021-01-05,Norway,England,2,1,Qualifiers,1
2021-01-07,DR Congo,USA,3,2,Continental Cup,1
2021-01-08,Mexico,Germany,2,1,Qualifiers,1
2021-01-08,Brazil,Croatia,1,1,Qualifiers,1
2021-01-11,Egypt,Norway,1,2,Qualifiers,1
2021-01-12,Mexico,DR Congo,2,0,Qualifiers,0
2021-01-12,Haiti,Spain,2,2,Friendly,0
2021-01-13,USA,Mexico,2,3,Qualifiers,1
2021-01-19,Algeria,Argentina,1,5,FIFA World Cup,1
2021-01-19,Senegal,New Zealand,2,0,Qualifiers,1
2021-01-20,Egypt,Germany,4,3,Qualifiers,1
2021-01-21,DR Congo,Ghana,2,3,Qualifiers,1
2021-01-21,Portugal,Spain,1,1,Continental Cup,1
2021-01-21,Ivory Coast,Qatar,0,2,Continental Cup,1
2021-01-22,South Korea,Switzerland,1,2,Qualifiers,0
2021-01-23,Australia,Belgium,1,2,Friendly,1
2021-01-26,New Zealand,England,0,1,Qualifiers,1
2021-01-26,Panama,Belgium,1,2,Friendly,1
2021-01-26,Japan,Türkiye,3,0,Qualifiers,1
2021-01-27,Iraq,Paraguay,0,0,Qualifiers,0
2021-01-30,England,Curaçao,1,2,Qualifiers,0
2021-01-31,France,Croatia,3,2,Friendly,0
2021-02-01,Croatia,Morocco,0,1,Continental Cup,1
2021-02-02,Portugal,Iraq,3,1,Qualifiers,1
2021-02-02,Iraq,Senegal,1,1,Qualifiers,1
2021-02-05,Paraguay,Senegal,1,1,Friendly,0
2021-02-07,Scotland,Sweden,1,1,Friendly,0
2021-02-08,France,Egypt,0,2,Continental Cup,1
2021-02-09,Iraq,Ivory Coast,1,1,Qualifiers,0
2021-02-10,Norway,Uzbekistan,1,1,Qualifiers,0
2021-02-10,Ghana,Ivory Coast,1,0,Friendly,0
2021-02-11,Iran,Brazil,0,1,Qualifiers,0
2021-02-13,Haiti,Panama,3,1,Qualifiers,1
2021-02-13,Haiti,Colombia,1,2,Friendly,1
